,Hymn Number,Hymn Title,Hymn Text
0,1,"1. Holy, Holy, Holy! Lord God Almighty!",
1,2," Come, Thou Almighty King"," Come, thou almighty King,
help us thy name to sing;
help us to praise:
Father, all glorious,
o'er all victorious,
come, and reign over us,
Ancient of Days. Come, thou incarnate Word,
merciful, mighty Lord,
our prayer attend.
Come, and thy people bless,
and give thy word success;
Spirit of holiness,
on us descend. Come, holy Comforter,
thy sacred witness bear
in this glad hour.
Thou who almighty art,
now rule in every heart,
and ne'er from us depart,
Spirit of power. To thee, great One in Three,
eternal praises be,
hence evermore!
Thy sovereign majesty
may we in glory see,
and to eternity
love and adore."
2,3,3. Womb of Life and Source of Being,
3,4," Holy God, We Praise Your Name"," Holy God, we praise your name;
Lord of all, we bow before you.
All on earth your scepter claim;
all in heaven above adore you.
Infinite your vast domain,
everlasting is your reign. Hark! The glad celestial hymn
angel choirs above are raising;
cherubim and seraphim,
in unceasing chorus praising,
fill the heavens with sweet accord:
“Holy, holy, holy Lord!” All apostles join the strain
as your sacred name they hallow;
prophets swell the glad refrain,
and the blessed martyrs follow,
and from morn to set of sun,
through the church the song goes on. Holy Father, Holy Son,
Holy Spirit: three we name you,
while in essence only one;
undivided God we claim you,
and adoring, bend the knee
while we own the mystery."
4,5,5. God the Sculptor of the Mountains,
5,6, I Bind unto Myself Today," I bind unto myself today
the strong name of the Trinity
by invocation of the same,
the Three in One and One in Three. I bind this day to me forever,
by power of faith, Christ’s incarnation,
his baptism in the Jordan river,
his death on cross for my salvation,
his bursting from the spiced tomb,
his riding up the heavenly way,
his coming at the day of doom,
I bind unto myself today. I bind unto myself today
the virtues of the starlit heaven,
the glorious sun’s life-giving ray,
the whiteness of the moon at even,
the flashing of the lightning free,
the whirling wind’s tempestuous shocks,
the stable earth, the deep salt sea
around the old eternal rocks. I bind unto myself today
the power of God to hold and lead,
God’s eye to watch, God’s might to stay,
God’s ear to hearken to my need,
the wisdom of my God to teach,
God’s hand to guide, God’s shield to ward,
the word of God to give me speech,
God’s heavenly host to be my guard. Christ be with me, Christ within me,
Christ behind me, Christ before me,
Christ beside me, Christ to win me,
Christ to comfort and restore me.
Christ beneath me, Christ above me,
Christ in quiet, Christ in danger,
Christ in hearts of all that love me,
Christ in mouth of friend and stranger. I bind unto myself the name,
the strong name of the Trinity
by invocation of the same,
the Three in One and One in Three,
of whom all nature has creation,
eternal Father, Spirit, Word.
Praise to the Lord of my salvation;
salvation is of Christ the Lord!"
6,7,"7. Mothering God, You Gave Me Birth",
7,8," Eternal Father, Strong to Save"," Eternal Father, strong to save,
whose arm has bound the restless wave,
who bade the mighty ocean deep
its own appointed limits keep:
O hear us when we cry to thee
for those in peril on the sea. O Savior, whose almighty word
the winds and waves submissive heard,
who walked upon the foaming deep,
and calm amid its rage did sleep:
O hear us when we cry to thee
for those in peril on the sea. O Holy Spirit, who did brood
upon the chaos wild and rude,
and bade its angry tumult cease,
and gave, for fierce confusion, peace:
O hear us when we cry to thee
for those in peril on the sea. O Trinity of love and power,
all travelers guard in danger's hour;
from rock and tempest, fire and foe,
protect them wheresoe'er they go;
thus evermore shall rise to thee
glad praise from air and land and sea."
8,9,9. The Play of the Godhead,
9,10,10. Sing Glory to the Name of God (Psalm 29),
