,Hymn Number,Hymn Title,Hymn Text
0,1, Lift Every Voice and Sing," Lift ev’ry voice and sing,
Till earth and heaven ring,
Ring with the harmonies of liberty;
Let our rejoicing rise
High as the list’ning skies,
Let it resound loud as the rolling sea.
Sing a song full of the faith that the dark past has taught us;
Sing a song full of the hope that the present has brought us;
Facing the rising sun
Of our new day begun,
Let us march on till victory is won. Stony the road we trod,
Bitter the chast’ning rod,
Felt in the days when hope unborn had died;
Yet with a steady beat,
Have not our weary feet
Come to the place for which our fathers sighed?
We have come over away that with tears has been watered;
We have come, treading our path through the blood of the slaughtered;
Out from the gloomy past,
Till now we stand at last
Where the white gleam of our bright star is cast. God of our weary years,
God of our silent tears,
Thou who hast brought us thus far on the way;
Thou who hast by thy might,
Led us into the light,
Keep us forever in the path, we pray.
Lest our feet stray from the places, our God, where we met thee;
Lest our hearts, drunk with the wine of the world, we forget thee,
Shadowed beneath Thy hand,
May we forever stand,
True to our God, true to our native land."
1,2, Behold Your God,"h thou that tellest good tidings to Zion,
Oh thou that tellest good tidings to Jerusalem:
Lift up your voice with strength,
Lift it up don’t be afraid.
Behold your God.
Arise, and shine, for the light of the world is come.
Behold your God!"
2,3, Bye and Bye,"efrain:
O bye and bye, bye and bye,
I’m gonna lay down my heavy load. I know my robe’s gonna fit me well,
I’m gonna lay down my heavy load.
I tried it on at the gates of hell.
I’m gonna lay down my heavy load. [Refrain] O hell is deep and in dark despair,
I’m gonna lay down my heavy load.
So stop, po’ sinner and don’t go there.
I’m gonna lay down my heavy load. [Refrain] O Christian, can’t you arise and tell,
I’m gonna lay down my heavy load.
That Jesus hath done all things well.
I’m gonna lay down my heavy load. [Refrain]"
3,4, Better Be Ready,"efrain:
Better be ready; Better be ready;
Better be ready; Ready to try on your long white robe! Oh! Rise up children, get your crown,
And by your Savior’s side sit down. [Refrain] What a glorious morning that will be,
Our friends and Jesus we shall see. [Refrain] O shout you Christians, you’re gaining ground,
We’ll shout old Satan’s kingdom down! [Refrain] I soon shall reach that golden shore,
And sing the songs we sang before. [Refrain]"
4,5, Great Day,"efrain:
Great day! Great day, the righteous marching.
Great day. God’s going to build up Zion’s walls. Chariot rode on the mountaintop,
God’s going to build up Zion’s walls!
My God spoke and the chariot did stop,
God’s going to build up Zion’s walls! [Refrain] This is the day of jubilee,
God’s going to build up Zion’s walls!
The Lord has set His people free,
God’s going to build up Zion’s walls! [Refrain] We want no cowards in our band,
God’s going to build up Zion’s walls!
We call for valiant hearted men,
God’s going to build up Zion’s walls! [Refrain] Going to take my breast plate, sword, and shield,
God’s going to build up Zion’s walls!
And march out boldly in the field,
God’s going to build up Zion’s walls! [Refrain]"
5,6, Christ is Coming,
6,7, I Want to Be Ready,"efrain:
I want to be ready,
I want to be ready.
I want to be ready
To walk in Jerusalem just like John. John said that Jerusalem was four-square,
Walk in Jerusalem just like John.
I hope, good Lord, I’ll meet you there,
Walk in Jerusalem just like John. O [Refrain] When Peter was preaching at Pentecost,
Walk in Jerusalem just like John.
O he was filled with the Holy Ghost,
Walk in Jerusalem just like John. O [Refrain]"
7,8, Deep River,"eep river, my home is over Jordan,
Deep river, Lord, I want to cross over into camp ground.
Oh don’t you want to go to that gospel feast,
That promised land where all is peace?
Oh Deep river, Lord, I want to cross over into camp ground."
8,9, On Jordan's Stormy Banks," On Jordan’s stormy banks I stand,
And cast a wishful eye;
To Canaan’s fair and happy land,
Where my possessions lie.efrain:
I am bound for the promised land,
I am bound for the promised land;
Oh, who will come and go with me?
I am bound for the promised land. All o’er those wide-extended plains,
Shines one eternal day;
There God the Son forever reigns,
And scatters night away. [Refrain] No chilling winds or pois’nous breath
Can reach that healthful shore;
Sickness and sorrow, pain and death,
Are felt and feared no more. [Refrain] When shall I reach that happy place
And be forever blest?
When shall I see my Father’s face,
And in God’s bosom rest? [Refrain]"
9,10, Oh! What a Beautiful City,"efrain:
Oh! what a beautiful city,
Oh! what a beautiful city,
Oh! what a beautiful city,
Twelve gates-a to the city, Hallelujah! There’s three gates in-a the East,
three gates in-a the West;
Three gates in-a the North,
and three gates in-a the South,
making it twelve gates-a to the city, a-Hallelujah. [Refrain] O, my Lord built-a that day,
that was just a-fore square;
wanted all-a you sinners
to meet Him in-a the air,
’Cause He built twelve gates-a to the city, a-Hallelujah. [Refrain]"
