,Hymn Number,Hymn Title,Hymn Text
0,1," Father, we praise thee, now the night is over"," Father, we praise thee, now the night is over,
active and watchful, stand we all before thee;
singing we offer prayer and meditation:
thus we adore thee. Monarch of all things, fit us for thy mansions;
banish our weakness, health and wholeness sending;
bring us to heaven, where thy saints united
joy without ending. All holy Father, Son, and equal Spirit,
Trinity blessed, send us thy salvation;
thine is the glory, gleaming and resounding
through all creation."
1,S1," O Lord, open thou our lips"," Lord, open thou our lips.
And our mouth shall show forth thy praise.
Glory to the Father, and to the Son, and to the Holy Spirit:
as it was in the beginning, is now, and will be for ever. Amen.
Alelluia."
2,2," Father, we praise thee, now the night is over"," Father, we praise thee, now the night is over,
active and watchful, stand we all before thee;
singing we offer prayer and meditation:
thus we adore thee. Monarch of all things, fit us for thy mansions;
banish our weakness, health and wholeness sending;
bring us to heaven, where thy saints united
joy without ending. All holy Father, Son, and equal Spirit,
Trinity blessed, send us thy salvation;
thine is the glory, gleaming and resounding
through all creation."
3,S2," O come, let us sing unto the Lord",". O come, let us sing unto the Lord;
let us heartily rejoice in the strength of our salvation.. Let us come before his presence with thanksgiving,
and show ourselves glad in him with psalms. [Ant.]. For the Lord is a great God,
and a great King above all gods.. In his hand are all the corners of the earth,
and the strength of the hills is his also.. The sea is his and he made it,
and his hands prepared the dry land. [Ant.]. O come, let us worship and fall down
and kneel before the Lord our Maker.. For he is the Lord our God,
and we are the people of his pasture and the sheep of his hand. [Ant.]. O worship the Lord in the beauty of holiness;
let the whole earth stand in awe of him.. For he cometh, for he cometh to judge the earth,
and with righteousness to judge the world and the peoples with his truth. [Ant.]lory to the Father, and to the Son,
and to the Holy Spirit:
As it was in the beginning, is now,
and will be forever. Amen. [Ant.]"
4,3, Now that the daylight fills the sky,
5,4, Now that the daylight fills the sky," Now that the daylight fills the sky,
we lift our hearts to God on high,
that he, in all we do or say,
would keep us free from harm this day: Our hearts and lips may he restrain;
keep us from causing others pain,
that we may see and serve his Son,
and grow in love for everyone. From evil may he guard our eyes,
our ears from empty praise and lies;
from selfishness and hearts release,
that we may serve, and know his peace; that we, when this new day is gone,
and night in turn is drawing on,
with conscience free from sin and blame,
may praise and bless his holy Name. To God the Father, heavenly Light,
to Christ, revealed in earthly night,
to God the Holy Ghost we raise
our equal and unceasing praise."
6,S4," O come, let us sing unto the Lord",". O come, let us sing unto the Lord;
let us heartily rejoice in the strength of our salvation.. Let us come before his presence with thanksgiving,
and show ourselves glad in him with psalms. [Antiphon]. For the Lord is a great God,
and a great King above all gods.. In his hand are all the corners of the earth,
and the strength of the hills is his also.. The sea is his and he made it,
and his hands prepared the dry land. [Antiphon]. O come, let us worship and fall down
and kneel before the Lord our Maker.. For he is the Lord our God,
and we are the people of his pasture
and the sheep of his hand. [Antiphon]. O worship the Lord in the beauty of holiness;
let the whole earth stand in awe of him.. For he cometh, for he cometh to judge the earth,
and with righteousness to judge the world
and the peoples with his truth. [Antiphon]lory to the Father, and to the Son,
and to the Holy Spirit:
As it was in the beginning, is now,
and will be forever. Amen. [Antiphon]"
7,5, O splendor of God's glory bright," O splendor of God's glory bright,
O thou that bringest light from light,
O Light of Light, light's living spring,
O Day, all days illumining, O thou true Sun of heavenly love,
pour down thy radiance from above:
the Spirit's sanctifying beam
upon our earthly senses stream. With prayer the Father we implore:
O Father, glorious evermore,
we plead with thee for grace and power
to conquer in temptation's hour. to guide whate'er we nobly do,
with love all envy to subdue,
and give us grace our wrongs to bear,
to make ill fortune turn to fair. All laud to God the Father be;
all praise, eternal Son, to thee;
all glory to the Spirit raise
in equal and unending praise."
8,S5," O come, let us sing unto the Lord",". O come, let us sing unto the Lord;
let us heartily rejoice in the strength of our salvation.. Let us come before his presence with thanksgiving,
and show ourselves glad in him with psalms. [Antiphon]. For the Lord is a great God,
and a great King above all gods.. In his hand are all the corners of the earth,
and the strength of the hills is his also.. The sea is his and he made it,
and his hands prepared the dry land. [Antiphon]. O come, let us worship and fall down
and kneel before the Lord our Maker.. For he is the Lord our God,
and we are the people of his pasture
and the sheep of his hand. [Antiphon]. O worship the Lord in the beauty of holiness;
let the whole earth stand in awe of him.. For he cometh, for he cometh to judge the earth,
and with righteousness to judge the world
and the peoples with his truth. [Antiphon]lory to the Father, and to the Son,
and to the Holy Spirit:
As it was in the beginning, is now,
and will be forever. Amen. [Antiphon]"
9,6," Christ, whose glory fills the skies"," Christ, whose glory fills the skies,
Christ, the true, the only Light,
Sun of Righteousness, arise!
Triumph over shades of night;
Dayspring from on high, be near;
Daystar, in my heart appear! Dark and cheerless is the morn
unaccompanied by thee;
joyless is the day’s return
till thy mercy’s beams I see,
as they inward light impart,
glad my eyes, and warm my heart. Visit then this soul of mine!
Pierce the gloom of sin and grief!
Fill me, radiancy divine;
scatter all my unbelief;
more and more thyself display,
shining to the perfect day."
