,Hymn Number,Hymn Title,Hymn Text
0,60, I'll Praise My Maker While I've Breath," I'll praise my Maker while I've breath;
and when my voice is lost in death,
praise shall employ my nobler powers.
My days of praise shall ne'er be past,
while life, and thought, and being last,
or immortality endures. Happy are they whose hopes rely
on Israel's God, who made the sky
and earth and seas, with all their train;
whose truth for ever stands secure,
who saves th'oppressed and feeds the poor,
for none shall find God's promise vain. The Lord pours eyesight on the blind;
the Lord supports the fainting mind
and sends the laboring conscience peace.
God helps the stranger in distress,
the widow and the fatherless,
and grants the prisoner sweet release. I'll praise my God who lends me breath;
and when my voice is lost in death,
praise shall employ my nobler powers.
My days of praise shall ne'er be past,
while life, and thought, and being last,
or immortality endures."
1,60,,
2,61," Come, Thou Almighty King",". Come, thou almighty King,
help us thy name to sing,
help us to praise!
Father all glorious,
o'er all victorious,
come and reign over us, Ancient of Days!. Come, thou incarnate Word,
gird on thy mighty sword,
our prayer attend!
Come, and thy people bless,
and give thy word success;
Spirit of holiness, on us descend!. Come, holy Comforter,
thy sacred witness bear
in this glad hour.
Thou who almighty art,
now rule in every heart,
and ne'er from us depart, Spirit of power!. To thee, great One in Three,
eternal praises be,
hence, evermore.
Thy sovereign majesty
may we in glory see,
and to eternity love and adore!"
3,61b," Come, Thou Almighty King",". Come, thou almighty King,
help us thy name to sing,
help us to praise!
Father all glorious,
o'er all victorious,
come and reign over us, Ancient of Days!. Come, thou incarnate Word,
gird on thy mighty sword,
our prayer attend!
Come, and thy people bless,
and give thy word success;
Spirit of holiness, on us descend!. Come, holy Comforter,
thy sacred witness bear
in this glad hour.
Thou who almighty art,
now rule in every heart,
and ne'er from us depart, Spirit of power!. To thee, great One in Three,
eternal praises be,
hence, evermore.
Thy sovereign majesty
may we in glory see,
and to eternity love and adore!"
4,62, All Creatures of Our God and King,
5,63, Blessed Be the Name,"lessed be the name!
Blessed be the name!
Blessed be the name of the Lord!
Blessed be the name!
Blessed be the name!
Blessed be the name of the Lord!"
6,63,,
7,64," Holy, Holy, Holy! Lord God Almighty",". Holy, holy, holy! Lord God Almighty!
Early in the morning our song shall rise to thee.
Holy, holy, holy! Merciful and mighty,
God in three persons, blessed Trinity!. Holy, holy, holy! All the saints adore thee,
casting down their golden crowns around the glassy sea;
cherubim and seraphim falling down before thee,
which wert, and art, and evermore shalt be.. Holy, holy, holy! Though the darkness hide thee,
though the eye of sinful man thy glory may not see,
only thou art holy; there is none beside thee,
perfect in power, in love and purity.. Holy, holy, holy! Lord God Almighty!
All thy works shall praise thy name, in earth and sky and sea.
Holy, holy, holy! Merciful and mighty,
God in three persons, blessed Trinity."
8,64,,
9,65, ¡Santo! ¡Santo! ¡Santo!," ¡Santo! ¡Santo! ¡Santo! Señor omnipotente,
siempre el labio mío loores te dará.
¡Santo! ¡Santo! ¡Santo! te adoro reverente,
Dios en tres personas, bendita Trinidad. ¡Santo! ¡Santo! ¡Santo! la inmensa muchedumbre
de ángeles que cumplen tu santa voluntad,
ante ti se postra, bañada de tu lumbre,
ante ti que has sido, que eres y serás. ¡Santo! ¡Santo! ¡Santo! por más que estés velado,
e imposible sea tu gloria contemplar;
Santo tú eres sólo, y nada hay a tu lado
en poder perfecto, pureza y caridad. ¡Santo! ¡Santo! ¡Santo! la gloria de tu nombre
vemos en tus obras en cielo, tierra y mar;
¡Santo! ¡Santo! ¡Santo! te adorará todo hombre,
Dios en tres personas, bendita Trinidad."
10,65,,
